사용월,호선명,지하철역,04시-05시 승차인원,04시-05시 하차인원,05시-06시 승차인원,05시-06시 하차인원,06시-07시 승차인원,06시-07시 하차인원,07시-08시 승차인원,07시-08시 하차인원,08시-09시 승차인원,08시-09시 하차인원,09시-10시 승차인원,09시-10시 하차인원,10시-11시 승차인원,10시-11시 하차인원,11시-12시 승차인원,11시-12시 하차인원,12시-13시 승차인원,12시-13시 하차인원,13시-14시 승차인원,13시-14시 하차인원,14시-15시 승차인원,14시-15시 하차인원,15시-16시 승차인원,15시-16시 하차인원,16시-17시 승차인원,16시-17시 하차인원,17시-18시 승차인원,17시-18시 하차인원,18시-19시 승차인원,18시-19시 하차인원,19시-20시 승차인원,19시-20시 하차인원,20시-21시 승차인원,20시-21시 하차인원,21시-22시 승차인원,21시-22시 하차인원,22시-23시 승차인원,22시-23시 하차인원,23시-24시 승차인원,23시-24시 하차인원,00시-01시 승차인원,00시-01시 하차인원,01시-02시 승차인원,01시-02시 하차인원,02시-03시 승차인원,02시-03시 하차인원,03시-04시 승차인원,03시-04시 하차인원,작업일자
201905,2호선,충정로(경기대입구),18,1,4295,1164,8225,7830,19535,20983,27879,73288,18624,36072,14575,16655,15420,14026,16188,13497,17086,16671,16729,15556,17616,15236,21236,16474,27202,19683,59490,26003,21341,20217,13848,13660,13109,14485,9654,14601,4350,10227,709,3343,0,58,0,0,0,0,20190603
201905,경인선,중동,665,4,12092,1860,20313,4834,50655,7464,42510,16899,27274,11271,18474,8676,16775,10277,17241,11656,16380,12650,13326,13140,13063,15176,14842,18912,15264,25101,16408,34687,9803,34175,8259,22213,6738,19758,4937,18507,2254,14411,283,3623,0,0,0,0,0,0,20190603
201905,경부선,직산,48,0,561,355,1526,829,2277,3238,2092,3662,2139,2083,1709,1322,1634,1474,1474,1297,1594,1329,1514,1402,1808,1397,1838,1910,2570,1808,3680,2868,1387,2189,1096,1573,1352,1345,421,1148,178,890,19,303,0,0,0,0,0,0,20190603
201905,경원선,녹천,1232,5,5310,1066,9783,2001,25770,4781,24272,5515,15571,3525,10771,4044,8660,3849,9340,4856,7820,5011,7045,5579,6167,7007,7644,9149,7833,10901,6383,15780,4104,16294,3013,10529,2754,9355,2189,8840,781,6866,113,2099,0,0,0,0,0,0,20190603
201905,5호선,길동,20,0,5181,509,10428,3890,26999,6644,31146,16115,17559,12626,13758,10693,12641,9833,13673,10316,14216,11313,12506,12216,11661,14439,12547,16710,14144,20758,16577,29362,9129,26337,7157,15639,6325,13658,5097,11257,1873,7909,271,2932,0,0,0,0,0,0,20190603
201905,분당선,상갈,60,1,3268,480,9850,2973,24213,7768,27339,12930,16618,7947,11910,5533,9323,5887,8961,6434,8488,7191,7982,7481,9105,8320,10018,10783,13830,15280,14148,18270,8047,17042,4940,14143,4592,12477,2514,12231,979,8577,119,1631,0,0,0,0,0,0,20190603
201905,5호선,광나루(장신대),2,0,5620,2020,17709,9311,47409,17680,59222,40144,37285,25698,24009,20820,22476,18430,24550,19763,25731,20016,22748,19148,25201,20856,28903,24648,31288,29801,38495,44238,20562,35479,14741,23216,15402,22015,12600,21892,4372,13503,631,3480,0,0,0,0,0,0,20190603
201905,경부선,금정,316,6,27918,8978,39424,23059,98698,47425,104559,92079,66045,33628,45751,25352,39124,24593,39923,26445,37957,29711,32970,33326,33759,39058,40821,48255,58913,65803,79438,98730,39035,86037,31322,54047,29970,54580,24525,50473,11580,37067,1388,14385,5,909,0,0,0,0,20190603
201905,경춘선,청평,4,0,1614,176,2462,944,5118,2869,7111,5790,4877,5108,4966,4913,6136,3969,4560,4519,4252,4261,4589,4895,5070,3905,5950,6114,6141,6011,5706,5266,2899,4997,1750,2664,1290,2910,871,2480,248,1521,11,454,0,0,0,0,0,0,20190603
201905,경부선,관악,161,0,7732,2294,15083,5799,40128,7791,40163,13255,21451,14879,14567,14663,12701,10735,16436,10288,15101,10197,13521,10593,12855,12249,15102,14695,17250,19416,14593,33226,9144,28494,7484,17997,6751,18131,4644,16263,1585,12152,93,1123,0,0,0,0,0,0,20190603
